EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
0,1,True,5,5,.,$MFT,,262144,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1091136,256,,,
1,1,True,5,5,.,$MFTMirr,,4096,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1069463,256,,,
2,2,True,5,5,.,$LogFile,,2097152,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1069533,256,,,
3,3,True,5,5,.,$Volume,,0,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1078515,257,,,
4,4,True,5,5,.,$AttrDef,,2560,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1069681,256,,,
5,5,True,5,5,.,.,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-13 14:56:19.7248881,2020-12-04 13:33:12.0513543,2020-12-13 14:56:19.7248881,2020-12-04 13:33:12.0513543,2020-12-13 14:56:32.6363084,2020-12-04 13:33:12.0513543,4096,2188016,0,170a2025-3d4f-11eb-9a81-9c5c8ebbb369,$TXF_DATA,
6,6,True,5,5,.,$Bitmap,,736,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1069611,256,,,
7,7,True,5,5,.,$Boot,,8192,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,0,0,,,
8,8,True,5,5,.,$BadClus,,0,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1069751,256,,,
8,8,True,5,5,.,$BadClus:$Bad,,24113152,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1069751,256,,,
9,9,True,5,5,.,$Secure,,264520,1,,False,True,False,False,False,False,Hidden|System|IsIndexView,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,2159656,257,,,
9,9,True,5,5,.,$Secure:$SDS,,264520,1,,False,False,True,False,False,False,Hidden|System|IsIndexView,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,2159656,257,,,
10,10,True,5,5,.,$UpCase,,131072,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1070159,256,,,
10,10,True,5,5,.,$UpCase:$Info,,32,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,0,1070159,256,,,
11,11,True,5,5,.,$Extend,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-04 13:33:12.0513543,,2020-12-13 14:37:17.6742013,2020-12-04 13:33:12.0513543,0,2139691,257,,,
24,1,True,11,11,.\$Extend,$Quota,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,0,1070176,257,,,
25,1,True,11,11,.\$Extend,$ObjId,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,0,2178161,257,,,
26,1,True,11,11,.\$Extend,$Reparse,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-13 14:27:05.3237064,2020-12-04 13:33:12.0663534,0,2114943,257,,,
27,1,True,11,11,.\$Extend,$RmMetadata,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,0,1070889,258,,,
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair,,0,1,,False,True,False,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,0,1070227,257,,,
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Config,,8,1,,False,False,True,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,0,1070227,257,,,
29,1,True,11,11,.\$Extend,$Deleted,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-04 13:33:12.0663534,,2020-12-13 14:27:05.3237064,2020-12-04 13:33:12.0663534,0,2114909,257,,,
