File name	SHA1 base32	MD5
D:\This file was created on Computer A, copied to VHDX, and edited within the VHDX.docx	TGWPAVYQ3NIPRZOETAZPTOHXIYKUY43G	555EC0DAC6915D77155B091E66FCB786
D:\This file was created on Computer A and moved to VHDX.docx	M67JG5YUYLQNFT2LJZE6X7MVRSH2IXL4	B3C81C12784F1F463C55E893131EFE9C
D:\This file was created on Computer A and copied to VHDX.docx	KTVLPFZKSBOQBSXA6WRO7J63XSNSQ6BB	7BCBAFBD374F2E02534653520058D07C
D:\Image files.txt	Z7FNQGLWIJVKDSS7VC5LW5WQIFEOX6BP	895E36575A309EF9CA7D767A521AF65E
D:\This file was created on Computer A, copied to VHDX ! and the filename was edited after the special character.txt	3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ	D41D8CD98F00B204E9800998ECF8427E
D:\looooooooooooooooooooooooooooooooooooongfilename.txt	5BMIA4DLWQO7CR4YJEW2NR5IQIVORAZB	204C3F86F4A0791F570B4DC1281F0F4D
D:\sdelete cmd output.txt	YHBT74WFYNCVQW7CGQ6C5FOZNLIP7ZLL	3D93F52AF7B8AF2D1E0C3D8950787E8B
D:\This file was created on Computer A, copied to VHDX, then timestomped.txt	IGOO2EMW66C227AQEI556FKYEAFE5N4Z	DA47CDF7232385659656080B46D6D39B
D:\This file was created on Computer A, timestomped, then copied to VHDX.txt	LYTUNJ6RJI4ZB7W66PZ5BX3XPPDXKYX2	8ABE8A9B9C7D6C2F0EE7C9800E0BFC1D
D:\short.txt	QM5OXQHREIIAWDKMLPH5G5PXJNENUHAS	47DE9273B5CCE8D7070548CD53FB0236
D:\This file was created on VHDX, and renamed shortly thereafter ! this is a file rename test.txt	3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ	D41D8CD98F00B204E9800998ECF8427E
D:\This file was created on VHDX.txt	3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ	D41D8CD98F00B204E9800998ECF8427E
D:\This timestomping screenshot was taken on Computer A and copied to VHDX 2.jpg	WEFI4HUCGJFHZGOL6OVX6AHOJ6ER5HVI	2B1E4BC16DB7D3B78F6E6D262F68A34D
D:\This timestomping screenshot was taken on Computer A and copied to VHDX.jpg	6R6L52SWEJVPPVJ55CFTWZQLBUTDW3LL	D3177A8A7FC6792C2A22C1185D635119
D:\This image is a modified version of Image.png (4).png	TWBLC4PL7QEVA6DU3QMGEQVZNO3AEYWO	74CC86C6B0AE916D74AC0CDE1C27A095
D:\This image is a modified version of Image.png (2).png	NOV4EKVDZWS4E6LNLJ3AFQAR23GUYB35	EE61FC76B0700087DA7151C1D4945BF6
D:\This image is a modified version of Image.png (1).png	TV4IGO3T55R5MREA5YFSMBDXMT7DQUE6	01E26339A91C65A774F618220407BE61
D:\This is an unmodified version of this image.png	XF6ESPERRDKJFDHKHELRZ4HP2RIG73JU	3F2FC3D0A794F2EAE706B43957510DD7
D:\This image is a modified version of Image.png (3).png	PCMEQXK3QTUHX3FLTQEGLPDM267HIUK5	199E8E719CD50AB68C1A4FB51BD0560A
