EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
0,1,True,5,5,.,$MFT,,262144,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,0,1069411,256,,,
1,1,True,5,5,.,$MFTMirr,,4096,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,0,1069483,256,,,
2,2,True,5,5,.,$LogFile,,2097152,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,0,1069555,256,,,
3,3,True,5,5,.,$Volume,,0,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,0,1070392,257,,,
4,4,True,5,5,.,$AttrDef,,2560,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,0,1069707,256,,,
5,5,True,5,5,.,.,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2367093,2021-01-01 12:44:14.2007091,2021-01-01 12:44:14.2367093,2021-01-01 12:44:14.2007091,2021-01-01 12:51:08.9531437,2021-01-01 12:44:14.2007091,0,2641841,0,,$TXF_DATA,
6,6,True,5,5,.,$Bitmap,,736,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,0,1069635,256,,,
7,7,True,5,5,.,$Boot,,8192,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,0,0,0,,,
8,8,True,5,5,.,$BadClus,,0,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,0,1069779,256,,,
8,8,True,5,5,.,$BadClus:$Bad,,24113152,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,2021-01-01 12:44:14.2007091,,0,1069779,256,,,
