Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
91C68076,256,0,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,0,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
A286C3D6,257,144,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,144,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
19227620,258,288,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,288,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
59227620,259,416,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,416,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
91588E06,260,544,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,544,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
629B9F0A,261,672,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,672,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
D313D767,262,768,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,768,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
F506D323,263,880,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,880,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
B507D323,264,976,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,976,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
B90BF206,265,1072,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,2,AccessAllowed,1072,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
91C68076,256,0,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262144,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
A286C3D6,257,144,S-1-5-21-2507465465-2372827616-1507098901-1001,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262288,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
19227620,258,288,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262432,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
59227620,259,416,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262560,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
91588E06,260,544,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262688,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
629B9F0A,261,672,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,262816,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
D313D767,262,768,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,262912,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
F506D323,263,880,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,263024,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
B507D323,264,976,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,263120,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
B90BF206,265,1072,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,2,AccessAllowed,263216,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Secure_$SDS
