EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
0,1,True,5,5,.,$MFT,,262144,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1069397,256,,,
1,1,True,5,5,.,$MFTMirr,,4096,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1069467,256,,,
2,2,True,5,5,.,$LogFile,,2097152,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1069537,256,,,
3,3,True,5,5,.,$Volume,,0,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1070356,257,,,
4,4,True,5,5,.,$AttrDef,,2560,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1069685,256,,,
5,5,True,5,5,.,.,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.9082122,2021-01-01 13:08:40.8752119,2021-01-01 13:08:40.9082122,2021-01-01 13:08:40.8752119,2021-01-01 13:09:37.5406895,2021-01-01 13:08:40.8752119,0,2642276,0,,$TXF_DATA,
6,6,True,5,5,.,$Bitmap,,736,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1069615,256,,,
7,7,True,5,5,.,$Boot,,8192,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,0,0,,,
8,8,True,5,5,.,$BadClus,,0,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1069755,256,,,
8,8,True,5,5,.,$BadClus:$Bad,,24113152,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1069755,256,,,
9,9,True,5,5,.,$Secure,,263296,1,,False,True,False,False,False,False,Hidden|System|IsIndexView,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,2640569,257,,,
9,9,True,5,5,.,$Secure:$SDS,,263296,1,,False,False,True,False,False,False,Hidden|System|IsIndexView,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,2640569,257,,,
10,10,True,5,5,.,$UpCase,,131072,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1070167,256,,,
10,10,True,5,5,.,$UpCase:$Info,,32,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1070167,256,,,
11,11,True,5,5,.,$Extend,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,2021-01-01 13:08:40.8752119,,0,1074725,257,,,
24,1,True,11,11,.\$Extend,$Quota,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,0,1070184,257,,,
25,1,True,11,11,.\$Extend,$ObjId,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,0,1070218,257,,,
26,1,True,11,11,.\$Extend,$Reparse,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,0,1070201,257,,,
27,1,True,11,11,.\$Extend,$RmMetadata,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,0,1070897,258,,,
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair,,0,1,,False,True,False,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,0,1070235,257,,,
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Config,,8,1,,False,False,True,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,0,1070235,257,,,
29,1,True,11,11,.\$Extend,$Deleted,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,2021-01-01 13:08:40.8942111,,0,1070322,257,,,
30,1,True,27,1,.\$Extend\$RmMetadata,$TxfLog,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.9002117,2021-01-01 13:08:40.8952104,2021-01-01 13:08:40.9002117,2021-01-01 13:08:40.8952104,2021-01-01 13:08:40.9002117,2021-01-01 13:08:40.8952104,0,1075041,258,,,
31,1,True,27,1,.\$Extend\$RmMetadata,$Txf,,0,1,,True,False,False,False,False,False,-2147483642,Posix,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,0,1071122,258,,$TXF_DATA,
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops,,100,1,,False,True,False,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,0,2639197,258,,,
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops:$T,,1048576,1,,False,False,True,False,False,False,Hidden|System,Posix,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,2021-01-01 13:08:40.8952104,,0,2639197,258,,,
33,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLog.blf,.blf,65536,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 13:08:40.8972131,,2021-01-01 13:08:59.1645298,2021-01-01 13:08:40.8972131,2021-01-01 13:08:59.1645298,2021-01-01 13:08:40.8972131,2021-01-01 13:08:59.1645298,2021-01-01 13:08:40.8972131,352,1076602,259,,,
