Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
F01203F8,256,0,S-1-5-32-544,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,0,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
5124B300,257,128,S-1-5-32-544,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,128,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
19227620,258,256,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,256,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
59227620,259,384,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,384,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
91588E06,260,512,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,512,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
629B9F0A,261,640,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,640,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
D313D767,262,736,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,736,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
F506D323,263,848,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,848,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
B507D323,264,944,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,1,AccessAllowed,944,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
B90BF206,265,1040,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,2,AccessAllowed,1040,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
F01203F8,256,0,S-1-5-32-544,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262144,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
5124B300,257,128,S-1-5-32-544,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262272,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
19227620,258,256,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262400,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
59227620,259,384,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262528,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
91588E06,260,512,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,262656,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Wiped\CCleaner\KAPE Output\tout\D\$Secure_$SDS
